index,timestamp,fridge,light,microwave,electric oven,washer dryer,dish washer,electric space heater
51843,2011-05-24 00:03:00-04:00,0.17813541,0.086129785,0.017777234,-0.015088448,0.003941116,0.4849462,0.000834129
51844,2011-05-24 00:04:00-04:00,0.26011547,0.12775537,0.037350636,-0.034644973,0.015097057,0.15166149,0.000885044
51845,2011-05-24 00:05:00-04:00,0.22609402,0.11478623,0.02139832,-0.01763204,0.03856546,0.14076978,0.000771553
51846,2011-05-24 00:06:00-04:00,0.13236596,0.12221748,0.022490935,-0.019752357,0.030308561,0.16867463,0.000781859
51847,2011-05-24 00:07:00-04:00,0.16632359,0.13003418,0.022792142,-0.0212046,0.02127801,0.17671946,0.000842623
51848,2011-05-24 00:08:00-04:00,0.176573,0.13609421,0.021803861,-0.02088112,0.018536879,0.18242796,0.000872472
51849,2011-05-24 00:09:00-04:00,0.16448683,0.13504702,0.02086999,-0.020516044,0.019328622,0.19349016,0.000864603
51850,2011-05-24 00:10:00-04:00,0.20135064,0.16439967,0.024863258,-0.027209016,0.008277912,0.22126296,0.000999018
51851,2011-05-24 00:11:00-04:00,0.20226029,0.16354991,0.020222481,-0.023029296,0.010006918,0.22627087,0.00099324
51852,2011-05-24 00:12:00-04:00,0.21091577,0.16902417,0.021982932,-0.025616549,0.010401783,0.23774703,0.001014139
51853,2011-05-24 00:13:00-04:00,0.20855126,0.17091261,0.021487739,-0.02545856,0.010623387,0.24272738,0.001019119
51854,2011-05-24 00:14:00-04:00,0.2503922,0.19578327,0.032887332,-0.025489144,0.024356006,0.057384443,0.001040435
51855,2011-05-24 00:15:00-04:00,0.24436234,0.2000333,0.022937132,-0.014440223,0.014443881,0.030009683,0.001069551
51856,2011-05-24 00:16:00-04:00,0.2199241,0.17970335,0.016016843,-0.006417397,-7.23E-05,0.013559372,0.001032572
51857,2011-05-24 00:17:00-04:00,0.22973648,0.18433218,0.02122659,0.002876828,0.002562502,0.003256501,0.001052028
51858,2011-05-24 00:18:00-04:00,0.22741939,0.17993462,0.01917937,0.000535096,0.000484112,0.00632981,0.001040726
51859,2011-05-24 00:19:00-04:00,0.21938919,0.18300574,0.020623248,0.000535807,0.001504644,0.005523712,0.001044887
51860,2011-05-24 00:20:00-04:00,0.22206955,0.18120326,0.019787831,0.000471472,0.00113191,0.006006583,0.001041011
51861,2011-05-24 00:21:00-04:00,0.15634046,0.13795511,0.002637473,0.011615198,-0.002727762,0.33624813,0.000968558
51862,2011-05-24 00:22:00-04:00,0.14740905,0.13882668,0.018701011,-0.031101866,-0.000299298,0.39844513,0.000956918
51863,2011-05-24 00:23:00-04:00,0.13789523,0.12550525,0.021485606,-0.026654819,0.015942438,0.28878948,0.000852368
51864,2011-05-24 00:24:00-04:00,0.16733564,0.13185771,0.023743952,-0.027213955,0.020322299,0.25754717,0.000866165
51865,2011-05-24 00:25:00-04:00,0.22709823,0.11053082,0.019903181,-0.02080838,0.027637383,0.21263833,0.000800249
51866,2011-05-24 00:26:00-04:00,0.20532349,0.10416363,0.020853208,-0.022747314,0.027124148,0.23446713,0.000778221
51867,2011-05-24 00:27:00-04:00,0.2628051,0.13126232,0.031194394,-0.026757201,0.028477272,0.122373275,0.000857127
51868,2011-05-24 00:28:00-04:00,0.24651666,0.122417256,0.019755645,-0.01986102,0.030432908,0.19378415,0.00083251
51869,2011-05-24 00:29:00-04:00,0.23139063,0.12419841,0.01907569,-0.025801316,0.016989164,0.29755905,0.000884912
51870,2011-05-24 00:30:00-04:00,0.25674903,0.12976153,0.022279887,-0.029303787,0.011760141,0.2970297,0.000924628
51871,2011-05-24 00:31:00-04:00,0.2502862,0.13645649,0.023027217,-0.029045548,0.015211463,0.2814595,0.000930243
51872,2011-05-24 00:32:00-04:00,0.090209566,0.15039305,0.021816352,-0.029118383,0.013896973,0.3230065,0.00091823
51873,2011-05-24 00:33:00-04:00,0.13276787,0.14562425,0.02044685,-0.028076407,0.01103739,0.3209551,0.000927913
51874,2011-05-24 00:34:00-04:00,0.14562088,0.16053225,0.030329203,-0.027110226,0.024571653,0.150672,0.000911498
51875,2011-05-24 00:35:00-04:00,0.1289546,0.19825399,0.03340823,-0.022324082,0.019985003,0.016436582,0.001002215
51876,2011-05-24 00:36:00-04:00,0.018764662,0.19138442,0.01810886,0.010392919,0.005195984,-0.003479005,0.000981676
51877,2011-05-24 00:37:00-04:00,0.09233449,0.20999147,0.023256512,0.000481481,0.003627,0.003239728,0.001069008
51878,2011-05-24 00:38:00-04:00,0.31588513,0.16652486,0.012527522,-0.000652091,-0.003733481,0.011356152,0.00104299
51879,2011-05-24 00:39:00-04:00,0.23879255,0.17710118,0.020946411,0.00083917,-0.000638104,0.00549868,0.001041171
51880,2011-05-24 00:40:00-04:00,0.26154318,0.1730043,0.01931502,0.001331452,-0.001233091,0.006036529,0.001039072
51881,2011-05-24 00:41:00-04:00,0.25774747,0.17224337,0.019601239,0.001409332,-0.001304459,0.005825865,0.001035672
51882,2011-05-24 00:42:00-04:00,0.26107094,0.17461935,0.020436749,0.001939269,-0.000299275,0.004928607,0.001042355
51883,2011-05-24 00:43:00-04:00,0.24872935,0.18083492,0.020962683,0.001930529,-0.000870878,0.004668976,0.001057491
51884,2011-05-24 00:44:00-04:00,0.31253076,0.21825273,0.029191323,0.004105725,0.005220378,-0.001003002,0.001185594
51885,2011-05-24 00:45:00-04:00,0.24221703,0.17472471,0.010835266,0.00303531,-0.006211758,0.008731732,0.001044209
51886,2011-05-24 00:46:00-04:00,0.22679405,0.15551399,0.015540271,0.002624059,-0.004128455,0.006689243,0.000978578
51887,2011-05-24 00:47:00-04:00,0.21296906,0.1570606,0.019134846,0.003180228,-0.001575773,0.004266914,0.000973673
51888,2011-05-24 00:48:00-04:00,0.2444108,0.16738136,0.021954378,0.003199638,-0.000114444,0.00306973,0.00101529
51889,2011-05-24 00:49:00-04:00,0.25787714,0.18374388,0.02339217,0.003263063,0.000634108,0.002384485,0.001068351
51890,2011-05-24 00:50:00-04:00,0.25770006,0.18198903,0.019615512,0.00378219,-0.000813759,0.003768158,0.00106455
