index,timestamp,fridge,light,microwave,electric oven,washer dryer,dish washer,electric space heater,FALSE
51843,2011-05-24 00:03:00-04:00,0.259360522,0.120872386,0.008370069,0,0.001950016,0.167015076,0.079308987,FALSE
51844,2011-05-24 00:04:00-04:00,0.244806379,0.113521948,0.007846009,0,0.0018363,0.141963735,0.076535597,FALSE
51845,2011-05-24 00:05:00-04:00,0.156736478,0.118442804,0.008399596,0,0.001995649,0.165192068,0.06164889,FALSE
51846,2011-05-24 00:06:00-04:00,0.165752143,0.126205832,0.008995232,0,0.002073369,0.168910474,0.092450999,FALSE
51847,2011-05-24 00:07:00-04:00,0.181096494,0.132307947,0.009302902,0,0.002243253,0.174969748,0.084759779,FALSE
51848,2011-05-24 00:08:00-04:00,0.173051879,0.131806612,0.009765307,0,0.002240071,0.186692655,0.086905092,FALSE
51849,2011-05-24 00:09:00-04:00,0.203318551,0.157438233,0.010838933,0,0.002652079,0.20435223,0.105498955,FALSE
51850,2011-05-24 00:10:00-04:00,0.209231228,0.159840032,0.011462632,0,0.002723391,0.215474322,0.10663078,FALSE
51851,2011-05-24 00:11:00-04:00,0.217583925,0.164654896,0.011972703,0,0.002759665,0.224941686,0.109158531,FALSE
51852,2011-05-24 00:12:00-04:00,0.216915935,0.166919693,0.011949097,0,0.002741011,0.230954587,0.108058184,FALSE
51853,2011-05-24 00:13:00-04:00,0.255596668,0.190905035,0.013700222,0,0.003192177,0.060083948,0.127255276,FALSE
51854,2011-05-24 00:14:00-04:00,0.255951554,0.196484238,0.014198495,0,0.003222354,0.024524674,0.104998745,FALSE
51855,2011-05-24 00:15:00-04:00,0.232379332,0.179804817,0.012815036,0,0.00293965,0.00315447,0.043112312,FALSE
51856,2011-05-24 00:16:00-04:00,0.236594796,0.180999368,0.013024604,0,0.002878797,0.003171949,0.042317133,FALSE
51857,2011-05-24 00:17:00-04:00,0.236008003,0.177649468,0.0127442,0,0.002832372,0.002906871,0.040673759,FALSE
51858,2011-05-24 00:18:00-04:00,0.229042172,0.179863676,0.012805191,0,0.002753804,0.003283382,0.040865947,FALSE
51859,2011-05-24 00:19:00-04:00,0.229461506,0.178672284,0.012944425,0,0.002845937,0.003138043,0.041709814,FALSE
51860,2011-05-24 00:20:00-04:00,0.168791339,0.136774555,0.009834453,0.000409769,0.00232643,0.325999528,0.031235216,FALSE
51861,2011-05-24 00:21:00-04:00,0.152695999,0.134922132,0.008659508,0,0.002088108,0.385654271,0.027047599,FALSE
51862,2011-05-24 00:22:00-04:00,0.143632963,0.124578342,0.008105698,0,0.001917477,0.294049799,0.028570082,FALSE
51863,2011-05-24 00:23:00-04:00,0.170247123,0.129162639,0.007829219,0,0.00175814,0.254235357,0.02538565,FALSE
51864,2011-05-24 00:24:00-04:00,0.228109986,0.111107461,0.007024906,0,0.001636816,0.216169745,0.024206823,FALSE
51865,2011-05-24 00:25:00-04:00,0.221712366,0.102180161,0.007245502,0,0.001584142,0.232413396,0.024106948,FALSE
51866,2011-05-24 00:26:00-04:00,0.269830734,0.126867309,0.009066401,0,0.002131158,0.125671297,0.025857821,FALSE
